session_id,Participant id,quota,status,Started DateTime,Completed Date Time,time_taken,Age,Age range,sex,language,nationality,country_of_birth,ethnicity,student_status,employment_status,num_approvals,num_rejections,prolific_score,Reviewed At DateTime,Entered Code,IP,Ethnicity,Handedness,College,Highest education level,Marital status,Employer Type,Leadership/Position of power/Supervisory duties,Current education level (if student),Subject,Number of subordinates,Religious Affiliation,Religious Affiliation (Mother),Religious Affiliation (Father),Supervisor,Supervisory Interactions,Political_Affiliation_US,Sexual Orientation,Current U.S state of residence,Current U.S state of birth,Computer Programming,Preferred programming language,Parents Educational Level,Record Video,Children,Socioeconomic Status,Current UK area of residence,Place of most time spent before turing 18,UK area of birth,Nationality (UK),Smoker,Smoking frequency,Industry,Industry Role,Christianity Affiliation,Phone Operating System,Investment,Car Owner,Car Brand,Units of alcohol,Charitable Giving,Pain Question,Windfarms,Pain - For How Long,Technology use at work,Head Injury,Deception,Political Affiliation (UK),BREXIT,Body Weight,Chronic Disease,Video Games,Vision,Literacy Difficulties,Personal Income (GBP),Household Income (GBP),Household Size,Charity Affiliation,Diet,Adblocker,Number of children,Other crowdsourcing platforms,Number of studies,Parents Marital Status,Parents' Divorce Age,Parents' Divorce Management,Ethnicity 2,Recent Purchases 1,Live Chat,Vaccine Opinions 1,Vaccine Opinions 2,Past Diet,Pregnancy,First Pregnancy,iPhone model,Vera Rubin,Head Injury: Knock out history,Year of birth of first child,Year of birth of 2nd child,Year of birth of 3rd child,Hobbies - Categories,Social Media,Location services,Other crowdsourcing platforms select,TV shows 1,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q16,Q1-aggregate,Q1,Base_1_Agree_1,Base_1_Agree_2,Base_1_Agree_3,Base_1_Agree_4,Base_1_Agree_4_TEXT,Base_1_disagree_1,Base_1_disagree_2,Base_1_disagree_3,Base_1_disagree_4,Base_1_disagree_5,Base_1_disagree_6,Base_1_disagree_7,Base_1_disagree_7_TEXT,Q2-aggregate,Q2,Base_2_disagree_1,Base_2_disagree_2,Base_2_disagree_3,Base_2_disagree_3_TEXT,PED-aggregate,Q9,Doping-aggregate,Q10,Q11,Q14,Q13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584aff22000f1000010ece8a,5383febdfdf99b5111d7ccf6,sw,Approved,59:46.0,00:26.5,40.502,22,18-23,Female,Chinese,United States,China,East Asian,Yes,Part-Time,136,5,99,,9NRHPG92,108.41.225.223,East Asian,Right-handed,young,College/A levels,Single,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",No,College/A levels,N/A,N/A,Buddhism,Buddhism,Buddhism,Yes,On a weekly basis,None,heterosexual,New York (NY),N/A,No,N/A,Both my parents have a bachelor_Ñés degree (from a 4 year college),Yes,No,3,N/A,N/A,N/A,N/A,No,N/A,"College, University, and Adult Education",Researcher,N/A,iOS (iPhone),No,No,N/A,0,ë£0,No,1,N/A,more than once a day,No,"Yes, I would be comfortable to take part in such a study",N/A,N/A,Neither Underweight Nor Overweight,No,N/A,Yes,No,"Less than ë£10,000 ","Less than ë£10,000 ",3,No,I do not follow any diet,"No, I have not used an Ad Blocker to my knowledge (or I don't know what that means)",N/A,Rather not say,N/A,Rather not say,N/A,N/A,Black/African American,No,N/A,7 (TOTALLY AGREE),7 (TOTALLY AGREE),Yes,No,N/A,6,No,,,,,,N/A,N/A,N/A,N/A,12/9/16 10:59,12/9/16 11:00,IP Address,108.41.225.223,100,37,TRUE,12/9/16 11:00,R_3Pwd8uZLJ1e4fcG,,,,,40.72799683,-73.7881012,anonymous,5383febdfdf99b5111d7ccf6,positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,positive,Strongly agree,,,,,no answer,,positive,Strongly agree,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584afb4fa7722e0001305d77,53987712fdf99b68e3a45021,sw,Approved,43:27.1,45:48.6,141.513,22,18-23,Female,English,United States,Korea,East Asian,Yes,Full-Time,44,0,100,,9NRHPG92,24.217.163.56,East Asian,Right-handed,young,Undergraduate degree (BA/BSc/other),Single,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",No,Undergraduate degree (BA/BSc/other),Computer Science,N/A,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Yes,Once a month,N/A,heterosexual,Michigan (MI),N/A,Yes,C++,One of my parents has a bachelor_Ñés degree (from a 4 year college) but the other does not,No,No,7,N/A,N/A,N/A,N/A,N/A,N/A,Software,N/A,Lutheran,Android,Yes,Yes,N/A,4-Jan,ë£1-ë£50,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,12/9/16 10:43,12/9/16 10:45,IP Address,24.217.163.56,100,134,TRUE,12/9/16 10:45,R_Ui5tWqScRa0PcQx,,,,,38.82510376,-90.72889709,anonymous,53987712fdf99b68e3a45021,positive,Agree,Somewhat agree,Neither agree nor disagree,Agree,,,,,,,,,,,positive,Somewhat agree,,,,,disagree,Disagree,no answer,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5846d10f9f1f4400015450ec,53990142fdf99b059f5ce5c2,ywn,Approved,54:07.6,55:35.2,87.548,34,24-34,Female,English,United States,United States,Caucasian,Yes,Full-Time,26,0,100,,GKQFIT2U,199.167.242.1,Caucasian,N/A,no college,College/A levels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Democrat,N/A,N/A,Texas (TX),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,12/6/16 6:54,12/6/16 6:55,IP Address,199.167.242.1,100,81,TRUE,12/6/16 6:55,R_sdrLureLZBFxgPf,,,,,30.51739502,-97.63040161,anonymous,53990142fdf99b059f5ce5c2,positive,Agree,Somewhat disagree,Agree,Neither agree nor disagree,,,,,,,,,,,positive,Agree,,,,,no answer,,disagree,Disagree,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584af7f4e40c7c000142c9b2,545cee6dfdf99b7f9e3254ce,ywn,Approved,29:08.5,30:25.0,76.512,25,24-34,Female,English,United States,United States,Caucasian,No,Part-Time,63,1,100,,RZC28MJ3,67.255.91.88,Caucasian,Right-handed,no college,Secondary school/GCSE,Single,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",No,N/A,N/A,N/A,"Non Religious (e.g. Agnostic, Atheist, No Religion)","Non Religious (e.g. Agnostic, Atheist, No Religion)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Yes,On a daily basis,Other,bisexual,Maine (ME),Michigan (MI),No,N/A,Both my parents do NOT have a bachelor_Ñés degree (from a 4 year college),Yes,No,2,N/A,N/A,N/A,N/A,No,N/A,Retail,Support Staff,N/A,Other/Not Applicable,No,No,N/A,4-Jan,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I would be comfortable to take part in such a study",N/A,N/A,N/A,N/A,13 hours or more,N/A,N/A,"Less than ë£10,000 ",N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,12/9/16 10:29,12/9/16 10:30,IP Address,67.255.91.88,100,70,TRUE,12/9/16 10:30,R_3RyWLP0Sfv6tKAw,,,,,43.49609375,-70.48860168,anonymous,545cee6dfdf99b7f9e3254ce,positive,Agree,Agree,Somewhat agree,Agree,,,,,,,,,,,positive,Agree,,,,,positive,Somewhat agree,no answer,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5846c428a7722e000130554d,545dab5ffdf99b7f9e325612,owc,Approved,59:04.5,01:50.8,166.295,44,35-55,Female,English,United States,United States,Caucasian,Yes,Full-Time,224,4,100,,GKQFIT2U,173.46.77.150,Caucasian,Right-handed,college,Undergraduate degree (BA/BSc/other),In a relationship,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",Yes,Secondary school/GCSE,N/A,1,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Judaism,Yes,On a daily basis,Democrat,heterosexual,Pennsylvania (PA),New York (NY),Yes,C,Both my parents do NOT have a bachelor_„Žs degree (from a 4 year college),Yes,Yes,5,N/A,N/A,N/A,N/A,Yes,More than 6 times a day,Health Care and Social Assistance,Upper Management,Lutheran,Android,Yes,Yes,Volkswagen,4-Jan,‘£75-‘£100,N/A,7,N/A,more than once a day,No,"Yes, I would be comfortable to take part in such a study",N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,"‘£50,000 - ‘£59,999",5,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12/6/16 5:59,12/6/16 6:01,IP Address,173.46.77.176,100,151,TRUE,12/6/16 6:01,R_7PYOWQsQJ52TzrP,,,,,39.94689941,-105.2142029,anonymous,545dab5ffdf99b7f9e325612,positive,Agree,Agree,Disagree,Disagree,,,,,,,,,,,positive,Agree,,,,,disagree,Strongly Disagree,no answer,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584b10a3f1b9b3000192be99,545e504cfdf99b7f9fca2539,sm,Approved,14:27.2,17:07.9,160.673,21,18-23,Male,English,United States,United States,Caucasian,Yes,Unemployed (and job seeking),120,1,100,,SLPHWN0G,73.93.155.142,Caucasian,Right-handed,young,College/A levels,Single,N/A,N/A,Undergraduate degree (BA/BSc/other),Computer Science,N/A,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",N/A,N/A,N/A,N/A,Republican,heterosexual,California (CA),California (CA),Yes,N/A,N/A,No,No,4,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Android,Yes,Yes,Other,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Neither Underweight Nor Overweight,N/A,N/A,Yes,Yes,N/A,"More than ë£150,000",N/A,N/A,N/A,"Yes, I have used an Ad Blocker",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,12/9/16 12:14,12/9/16 12:17,IP Address,73.93.155.142,100,155,TRUE,12/9/16 12:17,R_1rMN5EudJAVDlek,,,,,37.59629822,-122.0657043,anonymous,545e504cfdf99b7f9fca2539,disagree,Somewhat disagree,,,,,,Somewhat agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,,,disagree,Disagree,Strongly disagree,Somewhat agree,,,no answer,,disagree,Strongly disagree,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584644f469b366000102e97b,546e3264fdf99b2bc7ebcfec,omn,Approved,56:20.6,36:07.2,2386.54,41,35-55,Male,English,United States,United States,Caucasian,No,Full-Time,266,0,100,,ZL16QYX8,100.4.123.109,Caucasian,Right-handed,no college,College/A levels,Single,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",Yes,N/A,N/A,3-Feb,"Non Religious (e.g. Agnostic, Atheist, No Religion)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Yes,On a daily basis,Other,heterosexual,Virginia (VA),Virginia (VA),Yes,Java,Both my parents do NOT have a bachelor_„Žs degree (from a 4 year college),Yes,No,4,N/A,N/A,N/A,N/A,No,N/A,"Arts, Entertainment, and Recreation",N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,"Yes, I would be comfortable to take part in such a study",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,12/5/16 20:56,12/5/16 21:36,IP Address,100.4.123.109,100,2382,TRUE,12/5/16 21:36,R_2eR74T6trj1FRgx,,,,,37.57769775,-75.751297,anonymous,546e3264fdf99b2bc7ebcfec,disagree,Somewhat disagree,,,,,,Strongly disagree,Disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,n/a,positive,Somewhat agree,,,,,positive,Somewhat agree,no answer,,Yes,No,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58469eb09f1f440001545097,546f8a9cfdf99b4a593414ea,omc,Approved,19:12.2,22:44.9,212.646,38,35-55,Male,English,United States,United States,White,Yes,Full-Time,137,0,100,,ZL16QYX8,24.73.83.158,Caucasian,Left-handed,college,Undergraduate degree (BA/BSc/other),Married,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",Yes,Undergraduate degree (BA/BSc/other),Politics,N/A,"Non Religious (e.g. Agnostic, Atheist, No Religion)","Non Religious (e.g. Agnostic, Atheist, No Religion)","Non Religious (e.g. Agnostic, Atheist, No Religion)",Yes,N/A,Other,heterosexual,Florida (FL),N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other Manufacturing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,,12/6/16 3:19,12/6/16 3:22,IP Address,24.73.83.158,100,199,TRUE,12/6/16 3:22,R_3fd62KDOLy4403X,,,,,27.91119385,-82.75509644,anonymous,546f8a9cfdf99b4a593414ea,disagree,Disagree,,,,,,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,,,disagree,Disagree,Agree,Disagree,,,disagree,Disagree,no answer,,Yes,No,none thanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584b256af1b9b3000192beae,54846a7cfdf99b07b28f22d4,ywn,Approved,43:06.9,46:02.4,175.496,25,24-34,Female,English,United States,United States,Caucasian,No,Full-Time,363,1,100,,RZC28MJ3,142.197.88.222,Caucasian,Right-handed,no college,Secondary school/GCSE,Single,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",Yes,N/A,N/A,>10,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",N/A,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Yes,On a daily basis,Republican,heterosexual,Florida (FL),Florida (FL),No,N/A,N/A,No,No,3,N/A,N/A,N/A,N/A,N/A,N/A,Hotel and Food Services,Junior Management,N/A,Android,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,"Yes, I have used an Ad Blocker",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,12/9/16 13:44,12/9/16 13:45,IP Address,142.197.88.222,100,74,TRUE,12/9/16 13:46,R_22xJZ6kEm4ifhWG,,,,,29.13479614,-81.02480316,anonymous,54846a7cfdf99b07b28f22d4,positive,Agree,Somewhat agree,Somewhat disagree,Agree,,,,,,,,,,,positive,Somewhat agree,,,,,disagree,Strongly Disagree,no answer,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584b01ac000f1000010ece8d,54847013fdf99b0379939c8a,ywc,Approved,10:35.9,12:04.1,88.238,33,24-34,Female,English,United States,United States,White,No,Full-Time,32,0,100,,MAN5SH9E,50.252.83.230,Caucasian,Right-handed,college,Undergraduate degree (BA/BSc/other),Married,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",Yes,N/A,N/A,1,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Yes,On a daily basis,Republican,heterosexual,Michigan (MI),Connecticut (CT),No,N/A,One of my parents has a bachelor_Ñés degree (from a 4 year college) but the other does not,No,No,6,N/A,N/A,N/A,N/A,No,N/A,"Arts, Entertainment, and Recreation",Middle Management,Baptist,Other/Not Applicable,No,Yes,Ford,0,ë£501+,Yes,4,10-20 years,more than once a day,No,"Yes, I would be comfortable to take part in such a study",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,12/9/16 11:10,12/9/16 11:12,IP Address,50.252.83.230,100,83,TRUE,12/9/16 11:12,R_R2JIXCzQ8uryo8x,,,,,42.28559875,-83.4858017,anonymous,54847013fdf99b0379939c8a,positive,Agree,Agree,Agree,Agree,,,,,,,,,,,disagree,Disagree,Disagree,Agree,,,indifferent,Neither agree nor disagree,no answer,,No,Yes,thanks!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
