session_id,Participant id,quota,College,Age range,status,Started DateTime,Completed Date Time,time_taken,Age,sex,language,nationality,country_of_birth,ethnicity,student_status,employment_status,num_approvals,num_rejections,prolific_score,Reviewed At DateTime,Entered Code,IP,Ethnicity,Handedness,Highest education level,Marital status,Employer Type,Leadership/Position of power/Supervisory duties,Current education level (if student),Subject,Number of subordinates,Religious Affiliation,Religious Affiliation (Mother),Religious Affiliation (Father),Supervisor,Supervisory Interactions,Political Affiliation (US),Sexual Orientation,Current U.S state of residence,Current U.S state of birth,Computer Programming,Preferred programming language,Parents Educational Level,Record Video,Children,Socioeconomic Status,Current UK area of residence,Place of most time spent before turing 18,UK area of birth,Nationality (UK),Smoker,Smoking frequency,Industry,Industry Role,Christianity Affiliation,Phone Operating System,Investment,Car Owner,Car Brand,Units of alcohol,Charitable Giving,Pain Question,Windfarms,Pain - For How Long,Technology use at work,Head Injury,Deception,Political Affiliation (UK),BREXIT,Body Weight,Chronic Disease,Video Games,Vision,Literacy Difficulties,Personal Income (GBP),Household Income (GBP),Household Size,Charity Affiliation,Diet,Adblocker,Number of children,Other crowdsourcing platforms,Number of studies,Parents Marital Status,Parents' Divorce Age,Parents' Divorce Management,Ethnicity 2,Recent Purchases 1,Live Chat,Vaccine Opinions 1,Vaccine Opinions 2,Past Diet,Pregnancy,First Pregnancy,iPhone model,Vera Rubin,Head Injury: Knock out history,Year of birth of first child,Year of birth of 2nd child,Year of birth of 3rd child,Words Per Minute,Trips,Hobbies - Categories,Social Media,Location services,Other crowdsourcing platforms select,TV shows 1,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Prolific set-up,NG_1,NG_1_Disagree_5,NG_1_Disagree_6,NG_1_Disagree_6_TEXT,NG_2,NG1AGREE_5,NG1AGREE_6,NG1AGREE_7,NG1AGREE_7_TEXT,DRUG_Z_1,DRUG_Z_1DISAGREE_7,DRUG_Z_1DISAGREE_8,DRUG_Z_1DISAGREE_9,DRUG_Z_1DISAGREE_9_TEXT,SCHOLARSHIP_Q1,SCHOLARSHIP_Q1DISAGR_8,SCHOLARSHIP_Q1DISAGR_9,SCHOLARSHIP_Q1DISAGR_10,SCHOLARSHIP_Q1DISAGR_11,SCHOLARSHIP_Q1DISAGR_12,SCHOLARSHIP_Q1DISAGR_13,SCHOLARSHIP_Q1DISAGR_14,SCHOLARSHIP_Q1DISAGR_14_TEXT,EQUALITY_Q1,EQUALITY_1AGREE_5,EQUALITY_1AGREE_6,EQUALITY_1AGREE_7,EQUALITY_1AGREE_8,EQUALITY_1AGREE_8_TEXT,EQUALITY_1DISAGREE_8,EQUALITY_1DISAGREE_9,EQUALITY_1DISAGREE_10,EQUALITY_1DISAGREE_11,EQUALITY_1DISAGREE_12,EQUALITY_1DISAGREE_13,EQUALITY_1DISAGREE_14,EQUALITY_1DISAGREE_14_TEXT,EQUALITY_Q2,EQUALITY_Q2DISAGREE_1,EQUALITY_Q2DISAGREE_2,EQUALITY_Q2DISAGREE_3,EQUALITY_Q2DISAGREE_3_TEXT,SALIENCE_Q1,SALIENCE_Q1AGREE_4,SALIENCE_Q1AGREE_5,SALIENCE_Q1AGREE_6,SALIENCE_Q1AGREE_7,SALIENCE_Q1AGREE_7_TEXT,SALIENCE_Q1DISAGREE_4,SALIENCE_Q1DISAGREE_5,SALIENCE_Q1DISAGREE_6,SALIENCE_Q1DISAGREE_7,SALIENCE_Q1DISAGREE_8,SALIENCE_Q1DISAGREE_9,SALIENCE_Q1DISAGREE_9_TEXT,SALIENCE_Q2,SALIENCE_Q2DISAGREE_4,SALIENCE_Q2DISAGREE_5,SALIENCE_Q2DISAGREE_6,SALIENCE_Q2DISAGREE_6_TEXT,MINOR_DEV_WINDOW,MINOR_Q1AGREE_6,MINOR_Q1AGREE_7,MINOR_Q1AGREE_8,MINOR_Q1AGREE_9,MINOR_Q1AGREE_9_TEXT,MINOR_Q1DISAGREE_8,MINOR_Q1DISAGREE_9,MINOR_Q1DISAGREE_10,MINOR_Q1DISAGREE_11,MINOR_Q1DISAGREE_12,MINOR_Q1DISAGREE_13,MINOR_Q1DISAGREE_14,MINOR_Q1DISAGREE_14_TEXT,MENTAL_Q1,MENTAL_Q1AGREE_1,MENTAL_Q1AGREE_2,MENTAL_Q1AGREE_3,MENTAL_Q1AGREE_4,MENTAL_Q1AGREE_4_TEXT,MENTAL_Q1DISAGREE_1,MENTAL_Q1DISAGREE_2,MENTAL_Q1DISAGREE_3,MENTAL_Q1DISAGREE_4,MENTAL_Q1DISAGREE_5,MENTAL_Q1DISAGREE_6,MENTAL_Q1DISAGREE_7,MENTAL_Q1DISAGREE_7_TEXT,MENTAL_Q2,MENTAL_Q2_DISAGREE_1,MENTAL_Q2_DISAGREE_2,MENTAL_Q2_DISAGREE_3,MENTAL_Q2_DISAGREE_3_TEXT,BIO_VQ1,BIO_VQ1DISAGREE_4,BIO_VQ1DISAGREE_5,BIO_VQ1DISAGREE_6,BIO_VQ1DISAGREE_6_TEXT,MINOR_NO_DEV_WINDOW,MINOR_NO_D_WIN_QDIS_8,MINOR_NO_D_WIN_QDIS_9,MINOR_NO_D_WIN_QDIS_10,MINOR_NO_D_WIN_QDIS_11,MINOR_NO_D_WIN_QDIS_12,MINOR_NO_D_WIN_QDIS_13,MINOR_NO_D_WIN_QDIS_14,MINOR_NO_D_WIN_QDIS_14_TEXT,SPORTSWATCH,RELIGION,COMMENTS
5851603730f72f0001e7d8d8,55882ad3fdf99b38acae6db7,omc,college,35-55,Approved,07:35.7,13:21.0,345.346,36,Male,English,United States,United States,Caucasian,No,Full-Time,24,2,98,,41L1PT3J,174.238.10.51,Caucasian,Right-handed,Undergraduate degree (BA/BSc/other),Single,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",Yes,N/A,N/A,42403,"Non Religious (e.g. Agnostic, Atheist, No Religion)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Yes,On a daily basis,Democrat,heterosexual,Arizona (AZ),Arizona (AZ),Yes,C++,Both my parents have a bachelorŠ—Ès degree (from a 4 year college),No,Yes,7,N/A,N/A,N/A,N/A,No,N/A,Health Care and Social Assistance,Middle Management,N/A,iOS (iPhone),Yes,Yes,Ford,0,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I would be comfortable to take part in such a study",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Î£70,000 - Î£79,999",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Divorced/Seperated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,12/14/16 8:07,12/14/16 8:13,IP Address,174.238.10.51,100,329,TRUE,12/14/16 8:13,R_UuySe6DW67aHt85,,,,,33.5592041,-112.1316986,anonymous,55882ad3fdf99b38acae6db7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Somewhat agree,Somewhat agree,,,,,,,,,,,Agree,,,,,Somewhat agree,,,,,Somewhat agree,,,,,,,,,Yes,No,
58514b91dcc3b60001b59286,55ad97ccfdf99b740305202f,omc,college,35-55,Approved,39:29.8,45:31.7,361.901,40,Male,English,United States,United States,East Asian,No,Full-Time,354,1,100,,41L1PT3J,96.59.145.197,East Asian,Right-handed,Undergraduate degree (BA/BSc/other),In a relationship,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",No,N/A,N/A,N/A,"Non Religious (e.g. Agnostic, Atheist, No Religion)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Yes,On a weekly basis,Democrat,heterosexual,Florida (FL),Florida (FL),No,N/A,Both my parents do NOT have a bachelorŠ—Ès degree (from a 4 year college),Yes,Yes,5,N/A,N/A,N/A,N/A,No,N/A,Other Education Industry,Self-employed/Partner,N/A,iOS (iPhone),Yes,Yes,Honda,14+,Î£0,Yes,6,0-3months,not at all,No,"Yes, I would be comfortable to take part in such a study",N/A,N/A,Slightly Overweight,N/A,N/A,Yes,No,N/A,"Î£50,000 - Î£59,999",N/A,No,N/A,"No, I have not used an Ad Blocker to my knowledge (or I don't know what that means)",1,Yes,N/A,Still married/partners,N/A,N/A,Mixed,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,12/14/16 6:39,12/14/16 6:45,IP Address,96.59.145.197,100,343,TRUE,12/14/16 6:45,R_1gHg83HFTO4KPGw,,,,,28.04069519,-81.90429688,anonymous,55ad97ccfdf99b740305202f,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Somewhat agree,Somewhat agree,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,,,Somewhat disagree,,,,,,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,,,Neither agree nor disagree,,,,,Somewhat agree,Agree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,no
58514ab828da4d00018840ca,55d7844969dbc30012b67f69,omc,college,35-55,Approved,35:52.5,39:54.8,242.323,51,Male,English,United States,United States,Caucasian,No,Full-Time,154,0,100,,6E3LEJCC,69.23.35.207,Caucasian,Right-handed,Undergraduate degree (BA/BSc/other),Divorced,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",Yes,N/A,N/A,>10,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Yes,On a daily basis,Republican,heterosexual,Kentucky (KY),Virginia (VA),Yes,C#,One of my parents has a bachelorŠ—Ès degree (from a 4 year college) but the other does not,Yes,Yes,6,N/A,N/A,N/A,N/A,Yes,More than 6 times a day,Retail,Middle Management,Baptist,Android,Yes,Yes,Hyundai,13-Oct,Î£75-Î£100,Yes,6,1-2 years,more than once a day,Yes,"Yes, I would be comfortable to take part in such a study",N/A,N/A,Slightly Overweight,Yes,3-6 hours,Yes,No,"Î£70,000 - Î£79,999","Î£50,000 - Î£59,999",4,Yes,Atkins Diet,"Yes, I have used an Ad Blocker",1,Yes,61-100,Still married/partners,N/A,N/A,White/Caucasian,Yes,Yes,3(SOMEWHAT DISAGREE),4 (NEITHER AGREE NOR DISAGREE),Yes,N/A,N/A,N/A,Yes,No,1993,N/A,N/A,Greater than 360 WPM,,N/A,N/A,N/A,N/A,N/A,12/14/16 6:35,12/14/16 6:39,IP Address,69.23.35.207,100,236,TRUE,12/14/16 6:39,R_2TGka9DRZqlgHXT,,,,,38.00520325,-84.98300171,anonymous,55d7844969dbc30012b67f69,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Somewhat agree,Neither agree nor disagree,,,,,,,,,,,Neither agree nor disagree,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,,Somewhat disagree,,,,,,Somewhat disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,
5850eff501dad300015a6d26,55f244e632af740012170458,omc,college,35-55,Approved,08:37.6,12:05.6,208.009,35,Male,English,United States,United States,Caucasian,No,Full-Time,67,1,100,,41L1PT3J,67.63.98.229,Caucasian,Right-handed,Graduate degree (MA/MSc/MPhil/other),Single,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",Yes,N/A,N/A,42466,"Non Religious (e.g. Agnostic, Atheist, No Religion)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Yes,On a daily basis,Democrat,heterosexual,Illinois (IL),Illinois (IL),No,N/A,Both my parents have a bachelorŠ—Ès degree (from a 4 year college),Yes,Yes,3,N/A,N/A,N/A,N/A,No,N/A,Finance and Insurance,Junior Management,N/A,Android,Yes,Yes,Ford,42656,Î£201-Î£500,Yes,7,N/A,more than once a day,N/A,N/A,N/A,N/A,Very Overweight,N/A,N/A,Yes,N/A,N/A,"Î£20,000 - Î£29,999",N/A,N/A,N/A,"Yes, I have used an Ad Blocker",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,12/14/16 0:08,12/14/16 0:12,IP Address,67.63.98.229,100,197,TRUE,12/14/16 0:12,R_22Vbxy3DpwFQIkp,,,,,37.76800537,-89.32749939,anonymous,55f244e632af740012170458,Somewhat agree,,,,Disagree,,,,,Strongly disagree,Agree,Disagree,,,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,
5851ed9cee6ade0001fa2c94,56895d18d3d6a7000ca23d6c,omc,college,35-55,Approved,10:52.2,15:02.3,250.067,36,Male,English,United States,United States,Caucasian,No,Full-Time,19,1,100,,41L1PT3J,24.9.36.22,Caucasian,Right-handed,Undergraduate degree (BA/BSc/other),N/A,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",Yes,N/A,N/A,N/A,N/A,Spiritualism,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Yes,N/A,Democrat,heterosexual,N/A,N/A,Yes,N/A,One of my parents has a bachelorŠ—Ès degree (from a 4 year college) but the other does not,No,No,5,N/A,N/A,N/A,N/A,N/A,N/A,Software,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Neither Underweight Nor Overweight,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12/14/16 18:10,12/14/16 18:14,IP Address,24.9.36.22,100,243,TRUE,12/14/16 18:15,R_CdnylhhDVWrfkyd,,,,,39.62759399,-104.7833023,anonymous,56895d18d3d6a7000ca23d6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Sports requires just as much natural ability as it does hard work.,,,,,,,,,Neither agree nor disagree,,,,,Neither agree nor disagree,,,,,Somewhat agree,,,,,,,,,No,No,
5851ce7d35140500014c8c35,5699af8025d9e9000db0a661,omc,college,35-55,Approved,58:05.1,01:07.1,181.973,39,Male,English,United States,United States,Caucasian,No,Full-Time,47,1,100,,41L1PT3J,50.96.208.53,Caucasian,Right-handed,Undergraduate degree (BA/BSc/other),Married,"Self-employed in own not-incorporated business, professional practice, or farm",No,N/A,N/A,N/A,"Non Religious (e.g. Agnostic, Atheist, No Religion)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",No,N/A,Democrat,heterosexual,Kentucky (KY),Virginia (VA),Yes,PHP,One of my parents has a bachelorŠ—Ès degree (from a 4 year college) but the other does not,Yes,Yes,6,N/A,N/A,N/A,N/A,No,N/A,Other Industry,Consultant,N/A,Android,Yes,Yes,Honda,42499,Î£1-Î£50,Yes,7,5-10 years,more than once a day,No,"Yes, I would be comfortable to take part in such a study",N/A,N/A,Overweight,Yes,N/A,No,No,"Î£40,000 - Î£49,999","Î£40,000 - Î£49,999",3,No,I do not follow any diet,"Yes, I have used an Ad Blocker",N/A,N/A,N/A,N/A,N/A,N/A,White/Caucasian,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,12/14/16 15:58,12/14/16 16:01,IP Address,50.96.208.53,100,161,TRUE,12/14/16 16:01,R_2Vr2B0mOLHt39L8,,,,,38.06149292,-84.45659637,anonymous,5699af8025d9e9000db0a661,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,,,,,,Disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,,,Neither agree nor disagree,,,,,Agree,Agree,Strongly disagree,Agree,,,,,,,,,,Strongly agree,,,,,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,
585181d735140500014c8bdf,56bcc714bf0d35000c3e0fe7,omc,college,35-55,Approved,31:03.2,34:38.4,215.194,35,Male,English,United States,United States,South Asian,Yes,Part-Time,38,0,100,,41L1PT3J,173.175.170.34,South Asian,Right-handed,Graduate degree (MA/MSc/MPhil/other),In a relationship,State government employee,Yes,Graduate degree (MA/MSc/MPhil/other),Psychology,3-Feb,Other,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Yes,On a weekly basis,None,heterosexual,Texas (TX),Wisconsin (WI),Yes,Other,Both my parents have a bachelorŠ—Ès degree (from a 4 year college),Yes,No,7,N/A,N/A,N/A,N/A,Yes,less than 4 times a month,"College, University, and Adult Education",Researcher,N/A,iOS (iPhone),Yes,Yes,Ford,4-Jan,Î£50-Î£75,Yes,6,3-12 months,more than once a day,No,"Yes, I would be comfortable to take part in such a study",N/A,N/A,Slightly Overweight,No,N/A,Yes,No,"Î£20,000 - Î£29,999","Î£20,000 - Î£29,999",1,No,I do not follow any diet,"Yes, I have used an Ad Blocker",N/A,No,N/A,Divorced/Seperated,N/A,N/A,White/Caucasian,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,12/14/16 10:31,12/14/16 10:34,IP Address,173.175.170.34,100,210,TRUE,12/14/16 10:34,R_3fHN17qZr8jXFNx,,,,,31.78320313,-106.4975967,anonymous,56bcc714bf0d35000c3e0fe7,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,Somewhat agree,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,Somewhat agree,,,,,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,
585121cd0e58810001cbe0ea,56f2a338ed0cf6000c9156c7,omc,college,35-55,Approved,41:17.7,44:46.3,208.676,35,Male,English,United States,United States,Caucasian,No,Full-Time,150,2,100,,41L1PT3J,75.41.110.48,Caucasian,Right-handed,Graduate degree (MA/MSc/MPhil/other),Married,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",Yes,N/A,N/A,42466,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Yes,On a daily basis,Democrat,heterosexual,Michigan (MI),Michigan (MI),No,N/A,One of my parents has a bachelorŠ—Ès degree (from a 4 year college) but the other does not,No,Yes,5,N/A,N/A,N/A,N/A,Yes,More than 6 times a day,Other Industry,Middle Management,Catholic,Android,Yes,Yes,Chevrolet,42656,Î£75-Î£100,Yes,6,1-2 years,4 or 6 times a week,Yes,"Yes, I would be comfortable to take part in such a study",N/A,N/A,Slightly Overweight,No,6-9 hours,Yes,Rather not say,"Î£50,000 - Î£59,999","Î£50,000 - Î£59,999",4,No,I do not follow any diet,"Yes, I have used an Ad Blocker",2,No,N/A,Divorced/Seperated,After my 11th birthday,Managed by my parents,White/Caucasian,Yes,No,6 (AGREE),7 (TOTALLY AGREE),Yes,N/A,N/A,N/A,Yes,Yes,2007,2009,N/A,120-180 WPM,Yes,N/A,N/A,N/A,N/A,N/A,12/14/16 3:41,12/14/16 3:44,IP Address,75.41.110.48,100,193,TRUE,12/14/16 3:44,R_2f7MG5FQDHh7zE0,,,,,42.31939697,-83.26789856,anonymous,56f2a338ed0cf6000c9156c7,Strongly agree,,,,Disagree,,,,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,It's not fair,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat,
585219567ccdb400011f4428,56f9d37dd38456000c03d428,omc,college,35-55,Approved,17:26.6,22:58.3,331.7,38,Male,English,United States,United States,Other,No,Full-Time,169,0,100,,41L1PT3J,12.247.169.102,Other,Left-handed,Graduate degree (MA/MSc/MPhil/other),Single,"Local government employee (city, county, etc.)",Yes,N/A,N/A,6-Apr,Unitarianism,"Non Religious (e.g. Agnostic, Atheist, No Religion)","Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",Yes,On a daily basis,Democrat,homosexual,Tennessee (TN),Tennessee (TN),No,N/A,Both my parents do NOT have a bachelorŠ—Ès degree (from a 4 year college),Yes,No,3,N/A,N/A,N/A,N/A,No,N/A,Primary/Secondary (K-12) Education,Trained Professional,N/A,Android,Yes,Yes,Other,13-Oct,Î£75-Î£100,Yes,7,N/A,about once a day,Yes,"Yes, I would be comfortable to take part in such a study",N/A,N/A,Neither Underweight Nor Overweight,Yes,N/A,Yes,Yes,N/A,"Î£40,000 - Î£49,999",N/A,N/A,N/A,"Yes, I have used an Ad Blocker",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,12/14/16 21:17,12/14/16 21:22,IP Address,12.247.169.102,100,320,TRUE,12/14/16 21:22,R_1ewU70VucdlSxic,,,,,36.0124054,-89.37789917,anonymous,56f9d37dd38456000c03d428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Somewhat agree,Somewhat agree,,,,,,,,,,,Disagree,Somewhat agree,Agree,,,Disagree,Somewhat agree,Agree,,,Disagree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat disagree,,,Yes,No,
585199ef7ccdb400011f43ee,570595dc61ab6a0010d4882b,omc,college,35-55,Approved,13:51.4,17:50.1,238.726,36,Male,English,United States,United States,Caucasian,No,Full-Time,141,0,100,,41L1PT3J,64.251.53.34,Caucasian,N/A,Graduate degree (MA/MSc/MPhil/other),Married,"Employee of a for-profit company or business or of an individual, for wages, salary, or commissions",Yes,N/A,N/A,42561,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",N/A,N/A,No,N/A,Republican,heterosexual,Connecticut (CT),Connecticut (CT),No,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,No,N/A,Scientific or Technical Services,Upper Management,N/A,iOS (iPhone),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Î£100,000 - Î£149,999",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,12/14/16 12:14,12/14/16 12:17,IP Address,64.251.53.34,100,217,TRUE,12/14/16 12:17,R_3MuMMMuecJgTq3T,,,,,41.20939636,-73.44090271,anonymous,570595dc61ab6a0010d4882b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Agree,Somewhat agree,,Levels the playing field ,,,,,,,,,Strongly disagree,Somewhat disagree,Agree,Disagree,,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,,Somewhat disagree,Agree,Strongly agree,Somewhat disagree,Disagree,Agree,Agree,Neither agree nor disagree,,Yes,Yes,
